trader,total_volume,total_score,top_percentile,trade_count,wallet_rank,label
0xfd22b8843ae03a33a8a4c5e39ef1e5ff33ebad91,618357.534595,792.1101411440148,100.51029774228307,17,783,
0x9d3e4fb265800f911de2026ed4a0ebddce36eec6,615539.4467880001,1225.6726977294759,100.78041467628825,38,757,
0x5060b41a1be40a63b7da2075e42479b29157a780,612169.651286,2999.9279157705605,64.25483625104148,380,2632,
0xd7b0032c7288cc0832d278b6ec520eb00b0dbd69,612079.1512740001,1176.7029243672773,109.87288649054241,181,268,
0x3a8aa345d5db7ec5138298c8c4f4540259be7699,609306.890721,2112.5008380461436,102.61905289976798,185,553,
0xde0463ea7f611b065e8ab06bbfbddad75e6dfa37,600631.16273,5030.930822775482,34.63138104931185,1900,10327,
0x4bbe10ba5b7f6df147c0dae17b46c44a6e562cf3,599131.619843,1592.4998625260241,103.1250278376581,130,517,
0x401ee31e9ebf9ab9f6315cd95faca5f950436fc9,597427.765071,2237.0457874612716,24.73958344418211,1148,27637,
0xcaab19659b995951a44cc992447cb2ad5be324dd,595093.4162600001,4043.3496703517394,42.85472317405346,788,7149,
0x8245ea0d5a476678cb354b69e136908f0757ebed,591334.77292,4292.740343733653,59.07873851826571,619,3070,
0xeface9902242b0399856f981600b907dcc9bc9a1,591204.374436,10403.334666327142,45.54532132048465,3783,6539,
0x6139c42e48cf190e67a0a85d492413b499336b7a,590469.82859,2696.056706965579,100.30581471271287,393,813,
0x08458f7e9d2858027de579e4c3ca305475496b6f,585461.053881,2134.3168535084887,34.26565365182313,747,10588,
0x40471b34671887546013ceb58740625c2efe7293,581488.98605,2305.190465927194,34.64300403747139,561,10323,
0xf5cfe6f998d597085e366f915b140e82e0869fc6,581080.08886,2581.9080207252514,50.43257961161327,593,5236,
0x72a22d4d155079da8f50c89d4c6c03b6428e7b65,580717.440172,2699.867170615196,47.12479244998059,703,6284,
0x2079cf38a4916c88f873f2b020bef66897248327,580684.6185399999,1459.6601667017765,125.09884523961914,66,136,
0xebc0df15e665da95bf819105b723ae90042ffa41,578036.4536279989,16463.70917794239,48.110670268160064,4968,6120,
0x4b7410aefbf0f38012b0dfb1131a4de147a9e8d7,577007.8052060001,1907.4869090816485,20.923642500991974,744,28275,
0xcd71fd5370880f3d92bb941e628c05840fe0d127,574628.37147,2416.49451985233,101.05624279825622,212,707,
0xe734e7bf7cfb9e464681f71822f6c2f6be514f0c,574543.545369,1812.7785943540252,53.25474465060133,431,3971,
0x8795bcb2fe129d1ea3e3d73bc13a3d8078047544,573014.14855,1964.1415563351543,102.9570214282837,137,529,
0x08ce2678c929934de9edea698a998aea9dbc295e,572064.5659099999,312.7680586858169,68.70098136968411,114,2322,
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,569840.08685,3549.905798599078,90.95111896486156,272,1104,
0xda1658af46c265cdeafcb7d49e54cf34a2c943c5,568263.4700000001,3014.4406942829132,125.04660827831651,123,139,
0xd44e974a3edb232aa4aedbdcc59792b76a5f67e2,562515.080648,2396.7289324460876,52.85666493579346,419,4063,
0x8c9233e5b93bdc9ddc202079a426bc4a6f2bebd9,561829.1866799999,1612.8896514627545,105.19453527531735,169,414,
